amount,type,latency,txn_count_last_30d,device_load,processing_decision
374.51,Withdrawal,8,7,66.48232247532977,edge
248.62,Transfer,12,3,27.265140235773707,edge
1838.9,Transfer,24,4,39.25425597230799,edge
50.31,Deposit,41,4,68.09283622957255,edge
79.55,Transfer,18,5,46.99519754313658,edge
282.39,Transfer,7,13,44.68150291816549,edge
233.93,Payment,2,8,40.72372509205781,edge
5659.21,Deposit,47,4,76.3911863655503,cloud
299.24,Payment,21,0,81.2862667260055,edge
434.73,Withdrawal,10,13,20.913119058552994,edge
7770.64,Payment,19,15,60.57521476793337,cloud
485.97,Withdrawal,11,2,78.07407626768324,edge
230.88,Transfer,7,8,41.430241078469805,edge
1529.45,Withdrawal,23,4,14.070842777798486,cloud
118.14,Transfer,6,1,32.967159154359365,edge
4290.54,Payment,14,8,40.3093269492013,cloud
225.96,Payment,17,2,16.328119716447834,edge
2023.41,Transfer,17,5,79.58556318909261,edge
460.65,Payment,23,9,67.1650183389433,edge
211.51,Transfer,33,3,82.94180831052137,edge
292.51,Payment,20,7,17.03949434879739,edge
18.63,Transfer,14,7,12.212156415151238,edge
390.75,Deposit,8,2,38.26858120449005,edge
349.99,Deposit,14,3,16.404557302659356,edge
36.99,Withdrawal,11,1,41.38099273535333,edge
336.67,Withdrawal,36,5,17.750759756099285,edge
144.45,Payment,11,4,85.84990914067417,cloud
7999.73,Deposit,34,1,40.3195810753909,cloud
174.49,Deposit,4,8,84.80202779140389,edge
344.65,Transfer,13,5,65.87929186396508,edge
235.83,Deposit,15,0,45.14154611987542,flagged
304.83,Withdrawal,19,2,37.14331434291816,edge
211.1,Payment,57,11,89.44442948051355,cloud
900.06,Deposit,16,10,73.63431430231,edge
920.75,Payment,11,4,74.53099950263312,edge
125.89,Payment,55,2,78.18758843202022,edge
2749.62,Deposit,14,4,44.286939002207305,edge
472.69,Transfer,75,1,29.29510687087435,edge
345.44,Payment,13,10,61.843272333079454,edge
1137.03,Transfer,36,0,43.5600901045592,edge
374.53,Payment,12,9,72.5013803469943,edge
378.88,Deposit,13,9,57.71341710500121,edge
9837.84,Deposit,22,19,92.0293219312866,cloud
245.84,Withdrawal,24,0,26.55555715202922,edge
213.41,Deposit,10,3,88.84023388113128,cloud
1661.16,Transfer,27,2,30.441024918476447,edge
207.27,Transfer,8,0,63.175898997952835,edge
9603.14,Payment,25,7,60.26179191749642,cloud
425.6,Withdrawal,43,2,59.330109101090606,edge
233.34,Payment,24,1,78.85360929537401,edge
347.83,Deposit,26,3,25.45361634727698,edge
255.27,Withdrawal,6,4,68.99435275133727,edge
7587.78,Deposit,24,8,66.88415400083736,cloud
28.89,Transfer,36,3,39.80500923204633,edge
246.36,Withdrawal,9,2,42.79958292223572,edge
437.01,Payment,25,15,17.671603794840422,edge
5803.57,Deposit,35,0,36.693511379484804,cloud
446.12,Payment,25,23,54.47414569761585,edge
5181.83,Withdrawal,11,2,59.88669215864624,cloud
77.09,Withdrawal,4,2,62.00547814424812,edge
261.17,Deposit,6,5,62.32283572218474,edge
282.03,Payment,14,1,79.84419375270404,edge
327.25,Withdrawal,13,5,67.60954194301766,edge
44.92,Payment,20,0,56.59349239751837,edge
362.62,Deposit,5,4,54.181720673731455,edge
7184.62,Payment,23,2,33.67871025079556,cloud
418.62,Payment,8,3,72.38928382447898,edge
408.67,Deposit,17,14,46.80681531444296,edge
6596.94,Withdrawal,31,3,53.41047304808678,cloud
6993.9,Withdrawal,23,11,94.17170391198054,cloud
262.22,Deposit,23,3,78.80246871238212,edge
497.99,Deposit,9,1,88.54482941709585,cloud
2998.07,Deposit,20,6,58.40437353902503,edge
344.82,Transfer,14,2,68.56418779671034,edge
303.22,Payment,3,5,24.216777756657002,edge
7472.62,Transfer,13,12,49.47234732425345,cloud
71.21,Withdrawal,12,6,50.53917317202619,edge
44.66,Payment,14,13,37.758242514984346,edge
264.09,Deposit,48,13,14.427562352148254,edge
3356.16,Transfer,16,0,71.33926209913949,cloud
2841.56,Payment,7,5,18.06638605234901,edge
420.64,Withdrawal,15,2,59.19482778166187,edge
392.62,Payment,14,1,64.09904391267308,edge
173.02,Payment,18,2,79.14912330693521,edge
2662.85,Transfer,22,6,33.94744371826951,edge
231.74,Transfer,11,0,60.43950349671077,edge
46.03,Withdrawal,2,1,63.05003030492095,edge
359.59,Withdrawal,1,11,24.283008746792284,edge
30.12,Withdrawal,46,30,42.458301337799234,edge
93.22,Withdrawal,22,12,25.167810034532977,edge
374.22,Deposit,6,2,59.88235934471954,edge
193.52,Payment,11,1,41.71285010232359,edge
146.26,Deposit,12,1,13.148324731566094,edge
267.62,Deposit,23,12,77.16846049344979,edge
234.74,Deposit,26,2,14.592744234794601,edge
7519.31,Payment,10,0,37.97020708985266,cloud
355.72,Transfer,9,20,79.38193117658672,edge
459.28,Withdrawal,18,2,40.076329597800765,edge
1266.73,Withdrawal,10,8,74.80701229345603,cloud
9621.39,Payment,9,6,62.35041061045471,cloud
346.7,Deposit,11,3,79.24879836260868,edge
14.76,Transfer,7,10,29.16803489983266,edge
5759.73,Payment,39,2,54.97692383741898,cloud
35.88,Payment,15,1,60.487544938584605,edge
114.26,Withdrawal,9,7,91.74069392270655,cloud
